[2025-08-08 00:48:36] [INFO    ] discord.client: logging in using static token
[2025-08-08 00:48:37] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-08-08 00:48:37] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-08-08 00:48:37] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1403088273425043599', 'username': 'JJ', 'avatar': 'da06f7d12fe7577df08fd20307c61348', 'discriminator': '9519', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '1d89d5723f3b661d416c1d033188c514', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-08-08 00:48:37] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-08-08 00:48:37] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-08-08 00:48:37] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1403088273425043599', 'name': 'JJ', 'icon': 'da06f7d12fe7577df08fd20307c61348', 'description': 'My OC Jeyhun is here to help you with currencies :3', 'type': None, 'bot': {'id': '1403088273425043599', 'username': 'JJ', 'avatar': 'da06f7d12fe7577df08fd20307c61348', 'discriminator': '9519', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '1d89d5723f3b661d416c1d033188c514', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['bot', 'applications.commands'], 'permissions': '572020924468288'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['bot', 'applications.commands'], 'permissions': '572020924468288'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '887ba4050644d3634235ab36cdd71042b803a0168b43245cd95fc0fdc9d5bbc0', 'flags': 557056, 'tags': ['currency conversion'], 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '699997037923663933', 'username': 'tspmodamn', 'avatar': '194c46dbc4f9b23c668d59a7e6562a11', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': None, 'accent_color': 10616832, 'global_name': 'pluto', 'avatar_decoration_data': {'asset': 'a_29662829c08c8d55d1614a24fff424cc', 'sku_id': '1341506443659968512', 'expires_at': None}, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#a20000', 'clan': {'identity_guild_id': '240195284695646209', 'identity_enabled': True, 'tag': 'NEWB', 'badge': '60695e0f6c7a5b9eb60a5be14d471158'}, 'primary_guild': {'identity_guild_id': '240195284695646209', 'identity_enabled': True, 'tag': 'NEWB', 'badge': '60695e0f6c7a5b9eb60a5be14d471158'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2278, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-08-08 00:48:37] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-08-08 00:48:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-l6p5",{"micros":0.0}]']}}
[2025-08-08 00:48:37] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-08-08 00:48:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-08 00:48:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'JJ', 'primary_guild': None, 'mfa_enabled': True, 'id': '1403088273425043599', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '9519', 'clan': None, 'bot': True, 'avatar': 'da06f7d12fe7577df08fd20307c61348'}, 'session_type': 'normal', 'session_id': '5b66d7a0a0f71ffcce3491a5954c0009', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1372971563854467123'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['tel-aviv', 'dubai', 'bucharest', 'warsaw', 'finland'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1403088273425043599', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-d-l6p5",{"micros":59497,"calls":["id_created",{"micros":877,"calls":[]},"session_lookup_time",{"micros":2161,"calls":[]},"session_lookup_finished",{"micros":10,"calls":[]},"discord-sessions-prd-2-90",{"micros":56094,"calls":["start_session",{"micros":45571,"calls":["discord-api-rpc-7d67449664-2jrzr",{"micros":33281,"calls":["get_user",{"micros":6587},"get_guilds",{"micros":2257},"send_scheduled_deletion_message",{"micros":10},"guild_join_requests",{"micros":397},"authorized_ip_coro",{"micros":8},"pending_payments",{"micros":5182},"apex_experiments",{"micros":1751},"user_activities",{"micros":3},"played_application_ids",{"micros":1}]}]},"starting_guild_connect",{"micros":60,"calls":[]},"presence_started",{"micros":283,"calls":[]},"guilds_started",{"micros":64,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":10095,"calls":[]},"connect_finished",{"micros":10098,"calls":[]},"build_ready",{"micros":14,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-08-08 00:48:37] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-08 00:48:37] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 5b66d7a0a0f71ffcce3491a5954c0009).
[2025-08-08 00:48:37] [DEBUG   ] discord.client: Dispatching event connect
